Airport Code,Airport Name,City Name,Country Name,,,,,,,
BCD,Bacolod,Bacolod,Philippines,,,,,,,
XSO,Siocon,Siocon,Philippines,,,,,,,
UBP,Muang Ubon,Ubon Ratchathni,Thailand,,,,,,,
NSF,Andrews NAF,Camp Springs,United States,,,,,,,
CCB,Cable Airport,"Upland, CA",United States,,,,,,,
LCM,La Cumbre,La Cumbre,Argentina,,,,,,,
AXC,Aramac,Aramac,Australia,,,,,,,
OIA,Ourilandia,Ourilandia,Brazil,,,,,,,
ISH,Ischia,Ischia,Italy,,,,,,,
LZU,Gwinnett County Airport,Lawrenceville,United States,,,,,,,
MNN,Municipal,Marion,United States,,,,,,,
SVS,Stevens Village,Stevens Village,United States,,,,,,,
MHP,Minsk International 1,Minsk,Belarus,,,,,,,
APB,Apolo,Apolo,Bolivia,,,,,,,
YIN,Yining,Yining,China,,,,,,,
TME,Tame,Tame,Colombia,,,,,,,
ALK,Asela,Asela,Ethiopia,,,,,,,
ESM,Esmeraldas,Esmeraldas,Ecuador,,,,,,,
FAV,Fakarava,Fakarava,French Polynesia,,,,,,,
ACV,Arcata,Arcata,United States,,,,,,,
AJL,Aizawl,Aizawl,India,,,,,,,
NSY,Sigonella NAF,Tokat,Italy,,,,,,,
IEJ,Iejima,Iejima,Japan,,,,,,,
PEL,Pelaneng,Pelaneng,Lesotho,,,,,,,
HNG,Hienghene,Hienghene,New Caledonia,,,,,,,
FDR,Municipal,Frederick,United States,,,,,,,
MAL,Mangole,Mangole,Indonesia,,,,,,,
CQD,Shahre-kord,Shahre-kord,Iran,,,,,,,
GUS,Grissom Afb,"Peru, Indiana",United States,,,,,,,
CAE,Metropolitan Airport,"Columbia, SC",United States,,,,,,,
HKA,Municipal,Blytheville,United States,,,,,,,
THM,Thompsonfield,Thompsonfield,United States,,,,,,,
XPU,West Kuparuk,West Kuparuk,United States,,,,,,,
EOZ,Elorza,Elorza,Venezuela,,,,,,,
PYH,Puerto Ayacucho,Puerto Ayacucho,Venezuela,,,,,,,
SIH,Silgadi Doti,Silgadi Doti,Nepal,,,,,,,
CHV,Chaves,Chaves,Portugal,,,,,,,
CHL,Challis,Challis,United States,,,,,,,
OMY,Oddor Meanche,Oddor Meanche,Cambodia,,,,,,,
YDR,Broadview,Broadview,Canada,,,,,,,
UAL,Luau,Luau,Angola,,,,,,,
UAQ,San Juan,San Juan,Argentina,,,,,,,
SGI,Sargodha Apt,Sargodha,Pakistan,,,,,,,
NDI,Namudi,Namudi,Papua New Guinea,,,,,,,
TWT,Tawitawi,Tawitawi,Philippines,,,,,,,
NBC,Naberevnye Chelny,Naberevnye Chelny,Russian Federation,,,,,,,
FNA,Lungi International,Freetown,Sierra Leone,,,,,,,
ASE,Aspen,Aspen,United States,,,,,,,
SUO,Sun River,Sun River,United States,,,,,,,
OCW,Warren Field,Washington,United States,,,,,,,
RNN,Bornholm,Rønne,Denmark,,,,,,,
PUF,Pau-Pyrénées,Pau,France,,,,,,,
ARM,Armidale,Armidale,Australia,,,,,,,
TOP,Philip Billard,Topeka,United States,,,,,,,
KAP,Kapanga,Kapanga,Zaire,,,,,,,
WOI,Wologissi,Wologissi,Liberia,,,,,,,
ATP,Airstrip,Aitape,Papua New Guinea,,,,,,,
KMA,Kerema,Kerema,Papua New Guinea,,,,,,,
NJC,Nizhnevartovsk,Nizhnevartovsk,Russian Federation,,,,,,,
LED,Pulkovo,St Petersburg,Russian Federation,,,,,,,
TKC,Tiko,Tiko,Cameroon,,,,,,,
YKX,Kirkland Lake,Kirkland Lake,Canada,,,,,,,
YSU,Summerside,Summerside,Canada,,,,,,,
FBM,Luano,Lubumbashi,Democratic Republic Of Congo,,,,,,,
NTE,Nantes Atlantique,Nantes,France,,,,,,,
UKN,Municipal,Waukon,United States,,,,,,,
PTW,Pottstown/Limerick,Pottstown,United States,,,,,,,
PRC,Prescott,Prescott,United States,,,,,,,
XWQ,Enkoping,Enkoping,Sweden,,,,,,,
IMT,Ford,Iron Mountain,United States,,,,,,,
CMQ,Clermont,Clermont,Australia,,,,,,,
HIJ,International,Hiroshima,Japan,,,,,,,
OKE,Okino Erabu,Okino Erabu,Japan,,,,,,,
ARV,Noble F. Lee,Minocqua,United States,,,,,,,
PSN,Palestine Municipal Airport,"Palestine, TX",United States,,,,,,,
SLJ,Stellar Air Park,Chandler,United States,,,,,,,
TBQ,Tarabo,Tarabo,Papua New Guinea,,,,,,,
KCA,Kuqa,Kuqa,China,,,,,,,
AVF,Avoriaz,Avoriaz,France,,,,,,,
JGB,Jagdalpur,Jagdalpur,India,,,,,,,
XRH,Richmond AFB,Richmond,Australia,,,,,,,
KEL,Kiel-Holtenau,Kiel,Germany,,,,,,,
WMD,Mandabe,Mandabe,Madagascar,,,,,,,
PAY,Pamol,Pamol,Malaysia,,,,,,,
FDF,Lamentin,Fort De France,Martinique,,,,,,,
BTS,M. R. Štefánika,Bratislava,Slovakia,,,,,,,
SER,Freeman Municipal,Seymour,United States,,,,,,,
FMS,Municipal,Fort Madison,United States,,,,,,,
JMN,Municipal Heliport,Mankato,United States,,,,,,,
INF,Newark Liberty International,In Guezzam,Algeria,,,,,,,
BQL,Boulia,Boulia,Australia,,,,,,,
WKB,Warracknabeal,Warracknabeal,Australia,,,,,,,
YCV,Cartierville,Cartierville,Canada,,,,,,,
FOC,Fuzhou,Fuzhou,China,,,,,,,
GGN,Gagnoa,Gagnoa,Cote D'Ivoire,,,,,,,
MGV,Margaret River,Margaret River Station,Australia,,,,,,,
KHN,Nanchang,Nanchang,China,,,,,,,
ODE,Beldringe,Odense,Denmark,,,,,,,
XJE,Rialway Service,Vojens,Denmark,,,,,,,
CLI,Clintonville,Clintonville,United States,,,,,,,
ZRK,VanGalder Bus Termina,Rockford,United States,,,,,,,
VJB,Xai Xai,Xai Xai,Mozambique,,,,,,,
TTL,Turtle Island,Turtle Island,Fiji,,,,,,,
GAX,Gamba,Gamba,Gabon,,,,,,,
KOU,Koulamoutou,Koulamoutou,Gabon,,,,,,,
BMN,Bamerny,Bamerny,Iraq,,,,,,,
TBT,Internacional,Tabatinga,Brazil,,,,,,,
HKV,Haskovo,Haskovo,Bulgaria,,,,,,,
BMD,Belo,Belo,Madagascar,,,,,,,
MKZ,Batu Berendam,Malacca,Malaysia,,,,,,,
TWU,Tawau,Tawau,Malaysia,,,,,,,
YSE,Squamish,Squamish,Canada,,,,,,,
IPI,San Luis,Ipiales,Colombia,,,,,,,
RKE,Roskilde Airport,Copenhagen,Denmark,,,,,,,
KVK,Kirovsk,Kirovsk,Russian Federation,,,,,,,
LPK,Lipetsk,Lipetsk,Russian Federation,,,,,,,
DOC,Dornoch,Dornoch,United Kingdom,,,,,,,
WTZ,Whitianga,Whitianga,New Zealand,,,,,,,
SUH,Sur,Sur,Oman,,,,,,,
CHI,Chicago FSS,Chicago,United States,,,,,,,
SDE,Santiago Del Estero,Santiago Del Estero,Argentina,,,,,,,
KRD,Kurundi,Kurundi,Australia,,,,,,,
SUN,Sun Valley,Sun Valley,United States,,,,,,,
BNI,Benin City,Benin City,Nigeria,,,,,,,
MQS,Mustique,Mustique Island,Saint Vincent And The Grenadines,,,,,,,
RIR,Riverside Fla-Bob,Riverside,United States,,,,,,,
ZUA,Utica NNY Rail,Utica,United States,,,,,,,
VCB,View Cove,View Cove,United States,,,,,,,
CHS,"Charleston, AFB Municipal","Charleston, SC",United States,,,,,,,
ZGC,Zhongchuan,Lanzhou,China,,,,,,,
AZZ,Ambriz,Ambriz,Angola,,,,,,,
ACD,Acandi,Acandi,Colombia,,,,,,,
URO,Boos,Rouen,France,,,,,,,
TEI,Tezu,Tezu,India,,,,,,,
VNS,Varanasi,Varanasi,India,,,,,,,
DBA,Dalbandin,Dalbandin,Pakistan,,,,,,,
EUE,Eureka,Eureka,United States,,,,,,,
KXA,Kasaan SPB,Kasaan,United States,,,,,,,
UMT,Umiat,Umiat,United States,,,,,,,
YNG,Youngstown,Youngstown,United States,,,,,,,
AUH,Abu Dhabi International,Abu Dhabi,United Arab Emirates,,,,,,,
SNL,Municipal,Shawnee,United States,,,,,,,
EGE,Eagle County,Vail/Eagle,United States,,,,,,,
RNO,Reno-Tahoe International,"Reno, NV",United States,,,,,,,
CNW,TSTC Waco Airport,"Waco, TX",United States,,,,,,,
WOL,Wollongong,Wollongong,Australia,,,,,,,
YDS,Desolation Sound,Desolation Sound,Canada,,,,,,,
YRL,Red Lake,Red Lake,Canada,,,,,,,
YRB,Resolute,Resolute,Canada,,,,,,,
COG,Mandinga,Condoto,Colombia,,,,,,,
OYE,Oyem,Oyem,Gabon,,,,,,,
LUB,Lumid Pau,Lumid Pau,Guyana,,,,,,,
UPG,Hasanudin,Ujung Pandang,Indonesia,,,,,,,
ZJJ,Harbour,Procida,Italy,,,,,,,
USO,Usino,Usino,Papua New Guinea,,,,,,,
CZP,Cape Pole,Cape Pole,United States,,,,,,,
SRX,Sert,Sert,Libya,,,,,,,
BJU,Bajura Arpt,Bajura,Nepal,,,,,,,
OHA,Royal Air Force Base,Ohakea,New Zealand,,,,,,,
SKG,Macedonia International,Thessaloniki,Greece,,,,,,,
ENA,Kenai,Kenai,United States,,,,,,,
SES,Selfield,Selma,United States,,,,,,,
BTU,Bintulu,Bintulu,Malaysia,,,,,,,
TUK,Turbat,Turbat,Pakistan,,,,,,,
VIV,Vivigani,Vivigani,Papua New Guinea,,,,,,,
CAC,Cascavel,Cascavel,Brazil,,,,,,,
MEA,Macae,Macae,Brazil,,,,,,,
ILF,Ilford,Ilford,Canada,,,,,,,
YPW,Powell River,Powell River,Canada,,,,,,,
YTK,Tulugak,Tulugak,Canada,,,,,,,
TII,Tirinkot,Tirinkot,Afghanistan,,,,,,,
CBB,J Wilsterman,Cochabamba,Bolivia,,,,,,,
MZY,Mossel Bay,Mossel Bay,South Africa,,,,,,,
ANN,Annette Island,Annette Island,United States,,,,,,,
EDF,Elmendorf Afb,Anchorage,United States,,,,,,,
AXS,Municipal,Altus,United States,,,,,,,
GUX,Guna,Guna,India,,,,,,,
LPX,Liepaya,Liepaya,Latvia,,,,,,,
HEB,Henzada,Henzada,Myanmar,,,,,,,
CPB,Capurgana,Capurgana,Colombia,,,,,,,
STR,Stuttgart Echterdingen,Stuttgart,Germany,,,,,,,
ABA,Abakan,Abakan,Russian Federation,,,,,,,
SMY,Simenti,Simenti,Senegal,,,,,,,
UIN,Municipal,Quincy,United States,,,,,,,
VNY,Van Nuys,"Los Angeles, CA",United States,,,,,,,
LYC,Lycksele,Lycksele,Sweden,,,,,,,
SGZ,Songkhla,Songkhla,Thailand,,,,,,,
GBI,Auxiliary Airfield,Grand Bahama,Bahamas,,,,,,,
WPA,Puerto Aisen,Puerto Aisen,Chile,,,,,,,
LYG,Lianyungang,Lianyungang,China,,,,,,,
NPU,San Pedro Uraba,San Pedro Uraba,Colombia,,,,,,,
TAU,Tauramena,Tauramena,Colombia,,,,,,,
LKB,Lakeba,Lakeba,Fiji,,,,,,,
GBO,Baltimore Greenbelt T,Baltimore,United States,,,,,,,
MEJ,Meadville,Meadville,United States,,,,,,,
LGO,Langeoog,Langeoog,Germany,,,,,,,
FIG,Fria,Fria,Guinea,,,,,,,
TKK,Truk,Truk,Micronesia,,,,,,,
DHI,Dhangarhi,Dhangarhi,Nepal,,,,,,,
OML,Omkalai,Omkalai,Papua New Guinea,,,,,,,
VLK,Volgodonsk,Volgodonsk,Russian Federation,,,,,,,
UGC,Urgench,Urgench,Uzbekistan,,,,,,,
PPK,Petropavlovsk,Petropavlovsk,Kazakhstan,,,,,,,
MDL,Mandalay International,Mandalay,Myanmar,,,,,,,
CSY,Cheboksary,Cheboksary,Russian Federation,,,,,,,
FGI,Fagali I,Apia,Samoa,,,,,,,
KMU,Kismayu,Kismayu,Somalia,,,,,,,
ZAZ,Zaragoza,Zaragoza,Spain,,,,,,,
LER,Leinster,Leinster,Australia,,,,,,,
ZGI,Gods River,Gods River,Canada,,,,,,,
AIG,Yalinga,Yalinga,Central African Republic,,,,,,,
DTR,Decatur Island,Decatur Island,United States,,,,,,,
TBN,Forney AAF,Fort Leonard Wood,United States,,,,,,,
LNS,Lancaster,Lancaster,United States,,,,,,,
LTW,St Marys County,Leonardtown,United States,,,,,,,
VOK,Volk Field,Camp Douglas,United States,,,,,,,
YIP,Willow Run,"Detroit, MI",United States,,,,,,,
BBX,Wings Field,Blue Bell,United States,,,,,,,
CIM,Cimitarra,Cimitarra,Colombia,,,,,,,
ZRV,Providence Rail,Providence,United States,,,,,,,
ULB,Ulei,Ulei,Vanuatu,,,,,,,
VQS,Vieques,Vieques,Puerto Rico,,,,,,,
LCD,Louis Trichardt,Louis Trichardt,South Africa,,,,,,,
LUV,Langgur,Langgur,Indonesia,,,,,,,
COC,Concordia,Concordia,Argentina,,,,,,,
XAP,Aeroporto Municipal Chapeco,Chapeco,Brazil,,,,,,,
YCA,Courtenay,Courtenay,Canada,,,,,,,
YIK,Ivujivik,Ivujivik,Canada,,,,,,,
YPG,Portage La Prairie,Portage La Prairie,Canada,,,,,,,
PRQ,Pres. Roque Saenz Pena,Pres. Roque Saenz Pena,Argentina,,,,,,,
RRE,Marree,Marree,Australia,,,,,,,
RPB,Roper Bar,Roper Bar,Australia,,,,,,,
RBE,Ratanakiri,Ratanakiri,Cambodia,,,,,,,
BOP,Bouar,Bouar,Central African Republic,,,,,,,
WAK,Ankazoabo,Ankazoabo,Madagascar,,,,,,,
HMO,Gen Pesqueira Garcia,Hermosillo,Mexico,,,,,,,
DLE,Tavaux,Dole,France,,,,,,,
MHA,Mahdia,Mahdia,Guyana,,,,,,,
DTH,Death Valley,Death Valley,United States,,,,,,,
TVU,Matei,Taveuni,Fiji,,,,,,,
TLS,Blagnac,Toulouse,France,,,,,,,
CSF,Creil,Creil,France,,,,,,,
NDA,Bandanaira,Bandanaira,Indonesia,,,,,,,
LKL,Banak,Lakselv,Norway,,,,,,,
MDM,Munduku,Munduku,Papua New Guinea,,,,,,,
TAG,Tagbilaran,Tagbilaran,Philippines,,,,,,,
COI,Merritt Island,Cocoa,United States,,,,,,,
OTO,Vor,Otto,United States,,,,,,,
YFO,Flin Flon,Flin Flon,Canada,,,,,,,
UTD,Nutwood Downs,Nutwood Downs,Australia,,,,,,,
WOG,Woodgreen,Woodgreen,Australia,,,,,,,
HXX,Hay,Hay,Australia,,,,,,,
PNG,Municipal,Paranagua,Brazil,,,,,,,
SIB,Sibiti,Sibiti,Congo,,,,,,,
IGE,Iguela,Iguela,Gabon,,,,,,,
MXK,Mindik,Mindik,Papua New Guinea,,,,,,,
ROV,Rostov,Rostov,Russian Federation,,,,,,,
BDG,Blanding,Blanding,United States,,,,,,,
RSK,Ransiki,Ransiki,Indonesia,,,,,,,
VNC,Venice Municipal,"Venice, FL",United States,,,,,,,
LHV,W T Piper Memorial,Lock Haven,United States,,,,,,,
ISL,Isabel Pass,Isabel Pass,United States,,,,,,,
PNC,Ponca City,Ponca City,United States,,,,,,,
TRG,Tauranga City,Tauranga,New Zealand,,,,,,,
TBR,Statesboro-Bulloch County Airport,"Statesboro, GA",United States,,,,,,,
QLX,Lauterach,Lauterach,Austria,,,,,,,
MBK,Matupa,Matupa,Brazil,,,,,,,
IOA,Ioannina,Ioannina,Greece,,,,,,,
BMJ,Baramita,Baramita,Guyana,,,,,,,
ICN,Incheon International,Seoul,Korea,,,,,,,
OPU,Balimo,Balimo,Papua New Guinea,,,,,,,
FUM,Fuma,Fuma,Papua New Guinea,,,,,,,
NGU,Nas Chambers,Norfolk,United States,,,,,,,
NRK,Kungsangen,Norrkoping,Sweden,,,,,,,
LCY,London City Airport,London,United Kingdom,,,,,,,
ESF,Esler Field,Alexandria,United States,,,,,,,
AFW,Fort Worth Alliance,"Fort Worth, TX",United States,,,,,,,
YMB,Merritt,Merritt,Canada,,,,,,,
KJK,Kortrijk,Kortrijk,Belgium,,,,,,,
FRW,Francistown,Francistown,Botswana,,,,,,,
GYS,Guang Yuan,Guang Yuan,China,,,,,,,
CPH,Kastrup,Copenhagen,Denmark,,,,,,,
MFF,Moanda,Moanda,Gabon,,,,,,,
IXP,Pathankot,Pathankot,India,,,,,,,
YVB,Bonaventure,Bonaventure,Canada,,,,,,,
DUB,Dublin,Dublin,Ireland,,,,,,,
MST,Maastricht/aachen,Maastricht,Netherlands,,,,,,,
WWG,Al Koude,Al Koude,Oman,,,,,,,
COP,Cooperstown - Westville Airport,"Cooperstown, NY",United States,,,,,,,
DHT,Dalhart,Dalhart,United States,,,,,,,
GLH,Greenville,Greenville,United States,,,,,,,
NEW,Lakefront,New Orleans,United States,,,,,,,
QWP,Van Service,Winter Park,United States,,,,,,,
BCE,Bryce,Bryce,United States,,,,,,,
YKN,Chan Gurney,Yankton,United States,,,,,,,
SQC,Southern Cross,Southern Cross,Australia,,,,,,,
EXI,SPB,Excursion Inlet,United States,,,,,,,
MVD,Carrasco International,Montevideo,Uruguay,,,,,,,
EGS,Egilsstadir,Egilsstadir,Iceland,,,,,,,
YEH,Persian Gulf International,Assaluyeh,Iran,,,,,,,
ITE,Itubera,Itubera,Brazil,,,,,,,
BYH,Blytheville AFB,Blytheville,United States,,,,,,,
MHT,Manchester-boston Regional Airport,"Manchester, NH",United States,,,,,,,
AIW,Ai-ais,Ai-ais,Namibia,,,,,,,
TPJ,Taplejung Suketar,Taplejung,Nepal,,,,,,,
BUV,Bella Union,Bella Union,Uruguay,,,,,,,
CDJ,Conceicao Do Araguaia,Conceicao Do Araguaia,Brazil,,,,,,,
RSG,Serra Pelada,Serra Pelada,Brazil,,,,,,,
XAR,Aribinda,Aribinda,Burkina Faso,,,,,,,
VAB,Yavarate,Yavarate,Colombia,,,,,,,
AEU,Abu Musa,Abu Musa,Iran,,,,,,,
HMA,Khanty-Mansiysk,Khanty-mansiysk,Russia,,,,,,,
ONE,Onepusu,Onepusu,Solomon Islands,,,,,,,
IBZ,Ibiza,Ibiza,Spain,,,,,,,
MOJ,Moengo,Moengo,Suriname,,,,,,,
BLU,Blue Canyon,Blue Canyon,United States,,,,,,,
BGD,Borger,Borger,United States,,,,,,,
NEC,Necochea,Necochea,Argentina,,,,,,,
CDA,Cooinda,Cooinda,Australia,,,,,,,
DIP,Diapaga,Diapaga,Burkina Faso,,,,,,,
LSL,Los Chiles,Los Chiles,Costa Rica,,,,,,,
RJK,Rijeka,Rijeka,Croatia,,,,,,,
ICI,Cicia,Cicia,Fiji,,,,,,,
MOZ,Temae,Moorea,French Polynesia,,,,,,,
NYI,Sunyani,Sunyani,Ghana,,,,,,,
XIQ,Harbour,Ilimanaq,Greenland,,,,,,,
IKI,Iki,Iki,Japan,,,,,,,
PDK,Dekalb-Peachtree,"Atlanta, GA",United States,,,,,,,
WDG,Enid Woodring Mun.,Enid,United States,,,,,,,
NVD,Nevada,Nevada,United States,,,,,,,
HRL,Valley International,Harlingen,United States,,,,,,,
WKL,Waikoloa Airport,Waikoloa,United States,,,,,,,
LCN,Balcanoona,Balcanoona,Australia,,,,,,,
CUQ,Coen,Coen,Australia,,,,,,,
OAL,Cacoal,Cacoal,Brazil,,,,,,,
CPQ,International,Campinas,Brazil,,,,,,,
YLR,Leaf Rapids,Leaf Rapids,Canada,,,,,,,
YZR,Sarnia,Sarnia,Canada,,,,,,,
YWR,White River,White River,Canada,,,,,,,
HET,Hohhot,Hohhot,China,,,,,,,
ZCU,She Kou Ferry,She Kou,China,,,,,,,
DZA,Dzaoudzi,Dzaoudzi,Comoros,,,,,,,
PMZ,Palmar Sur,Palmar,Costa Rica,,,,,,,
TMU,Tambor,Tambor,Costa Rica,,,,,,,
ENO,Teniente Prim Alarcon,Encarnacion,Paraguay,,,,,,,
TCQ,Tacna,Tacna,Peru,,,,,,,
CAK,Akron/canton Regional,"Akron/Canton, OH",United States,,,,,,,
IXM,Madurai,Madurai,India,,,,,,,
PSR,Liberi,Pescara,Italy,,,,,,,
REG,Tito Menniti,Reggio Calabria,Italy,,,,,,,
LNI,Dew Station,Lonely,United States,,,,,,,
HBN,Flamingo,Phu-bon,Viet Nam,,,,,,,
RHO,Diagoras,Rhodes,Greece,,,,,,,
SKW,Intermediate,Skwentna,United States,,,,,,,
FFO,Patterson Afb,Dayton,United States,,,,,,,
TKE,Tenakee SPB,Tenakee Springs,United States,,,,,,,
BTL,WK Kellogg Regional,Battle Creek,United States,,,,,,,
SWJ,South West Bay,South West Bay,Vanuatu,,,,,,,
UBJ,Ube,Ube,Japan,,,,,,,
CGT,Chinguitti,Chinguitti,Mauritania,,,,,,,
YPA,Glass Field,"Prince Albert, SK",Canada,,,,,,,
JUN,Jundah,Jundah,Australia,,,,,,,
SPD,Saidpur,Saidpur,Bangladesh,,,,,,,
MNJ,Mananjary,Mananjary,Madagascar,,,,,,,
DWB,Soalala,Soalala,Madagascar,,,,,,,
NLU,Santa Lucia,Santa Lucia,Mexico,,,,,,,
BSF,Bradshaw AAF,Pohakuloa,United States,,,,,,,
FOX,Fox,Fox,United States,,,,,,,
THP,Hot Springs,Thermopolis,United States,,,,,,,
KYU,Koyukuk,Koyukuk,United States,,,,,,,
NOL,Nakolik River,Nakolik River,United States,,,,,,,
ZSF,Springfield MA RR,Springfield,United States,,,,,,,
RUG,Rugao,Rugao,China,,,,,,,
KTC,Katiola,Katiola,Cote D'Ivoire,,,,,,,
JYR,Jiroft,Jiroft,Iran,,,,,,,
RVT,Ravensthorpe,Ravensthorpe,Australia,,,,,,,
NGA,Young,Young,Australia,,,,,,,
QFQ,Harbour,Maloy,Norway,,,,,,,
GSQ,Shark Elowainat,Shark Elowainat,Egypt,,,,,,,
XXK,Katrineholm,Katrineholm,Sweden,,,,,,,
MNE,Mungeranie,Mungeranie,Australia,,,,,,,
RMS,Ramstein,Ramstein,Germany,,,,,,,
DCK,Dahl Creek Arpt,Dahl Creek,United States,,,,,,,
OTN,Green,Oaktown,United States,,,,,,,
SEG,Penn Valley,Selinsgrove,United States,,,,,,,
EIY,Ein Yahav,Ein Yahav,Israel,,,,,,,
BWT,Burnie Wynyard,Burnie,Australia,,,,,,,
KNZ,Kenieba,Kenieba,Mali,,,,,,,
ZLG,El Gouera,El Gouera,Mauritania,,,,,,,
BRV,Bremerhaven,Bremerhaven,Germany,,,,,,,
REB,Rechlin,Rechlin,Germany,,,,,,,
HSG,Saga,Saga,Japan,,,,,,,
MUM,Mumias,Mumias,Kenya,,,,,,,
UZH,Unayzah,Unayzah,Saudi Arabia,,,,,,,
TKQ,Kigoma,Kigoma,Tanzania,,,,,,,
BNC,Beni,Beni,Zaire,,,,,,,
MMF,Mamfe,Mamfe,Cameroon,,,,,,,
ZMH,108 Mile Ranch,108 Mile Ranch,Canada,,,,,,,
GXQ,Ten. Vidal,Coyhaique,Chile,,,,,,,
PGX,Bassillac,Perigueux,France,,,,,,,
DGW,Converse County,Douglas,United States,,,,,,,
KKA,Koyuk,Koyuk,United States,,,,,,,
LGD,La Grande,La Grande,United States,,,,,,,
LEE,Leesburg,Leesburg,United States,,,,,,,
OVE,Oroville,Oroville,United States,,,,,,,
WWR,West Woodward,Woodward,United States,,,,,,,
IZT,Ixtepec,Ixtepec,Mexico,,,,,,,
LKN,Leknes,Leknes,Norway,,,,,,,
SRP,Stord Airport,Stord,Norway,,,,,,,
JRN,Juruena,Juruena,Brazil,,,,,,,
YGH,Fort Good Hope,Fort Good Hope,Canada,,,,,,,
BWF,Walney Island,Barrow-In-Furness,United Kingdom,,,,,,,
ADK,Adak Island Ns,Adak Island,United States,,,,,,,
EEN,Dillant-Hopkins,Keene,United States,,,,,,,
AVO,Municipal,Avon Park,United States,,,,,,,
ELJ,El Recreo,El Recreo,Colombia,,,,,,,
PZK,Puka Puka Is/Attol,Puka Puka Is/Attol,Cook Islands,,,,,,,
ZEG,Senggo,Senggo,Indonesia,,,,,,,
SRZ,El Trompillo,Santa Cruz,Bolivia,,,,,,,
XZA,Zabre,Zabre,Burkina Faso,,,,,,,
TIP,International,Tripoli,Libya,,,,,,,
BRP,Biaru,Biaru,Papua New Guinea,,,,,,,
XZQ,Pass Rail,Rail,Sweden,,,,,,,
YKI,Kennosao Lake,Kennosao Lake,Canada,,,,,,,
NWA,Moheli,Moheli,Comoros,,,,,,,
TRU,Trujillo,Trujillo,Peru,,,,,,,
PKV,Pskov,Pskov,Russian Federation,,,,,,,
KRQ,Kramatorsk,Kramatorsk,Ukraine,,,,,,,
SWK,Segrate,Milan,Italy,,,,,,,
HRJ,Chaurjhari,Chaurjhari,Nepal,,,,,,,
ATG,Attock,Attock,Pakistan,,,,,,,
FDK,Frederick Municipal,Frederick,United States,,,,,,,
XDJ,Djibo,Djibo,Burkina Faso,,,,,,,
PKF,Park Falls,Park Falls,United States,,,,,,,
PTC,Port Alice,Port Alice,United States,,,,,,,
PLQ,Palanga International,Klaipeda/Palanga,Lithuania,,,,,,,
DVL,Devils Lake,Devils Lake,United States,,,,,,,
TRH,Trona,Trona,United States,,,,,,,
ZPH,Zephyrhills,Zephyrhills,United States,,,,,,,
WPK,Wrotham Park,Wrotham Park,Australia,,,,,,,
XDV,Pr. George Rail Stn,Prince George,Canada,,,,,,,
BYU,Bindlacher-Berg,Bayreuth,Germany,,,,,,,
RBS,Orbost,Orbost,Australia,,,,,,,
JEQ,Jequie,Jequie,Brazil,,,,,,,
YDW,Obre Lake,Obre Lake,Canada,,,,,,,
PSO,Cano,Pasto,Colombia,,,,,,,
BER,Berlin Metropolitan Area,Berlin,Germany,,,,,,,
PUM,Pomala,Pomala,Indonesia,,,,,,,
QUB,Ubari,Ubari,Libya,,,,,,,
BKI,Kota-Kinabalu International Airport,Kota-Kinabalu,Malaysia,,,,,,,
WHO,Franz Josef,Franz Josef,New Zealand,,,,,,,
EVA,Landing Strip,Evadale,United States,,,,,,,
PTT,Pratt,Pratt,United States,,,,,,,
ATI,Artigas,Artigas,Uruguay,,,,,,,
KOM,Komo-Manda,Komo-Manda,Papua New Guinea,,,,,,,
INA,Inta,Inta,Russian Federation,,,,,,,
SVO,Sheremetyevo,Moscow,Russian Federation,,,,,,,
QOH,Hotel Rus Bus Station,Kiev,Ukraine,,,,,,,
IHN,Qishn,Qishn,Yemen,,,,,,,
CKD,Crooked Creek,Crooked Creek,United States,,,,,,,
DET,Detroit City,"Detroit, MI",United States,,,,,,,
OCE,Municipal,Ocean City,United States,,,,,,,
PPV,Port Protection,Port Protection,United States,,,,,,,
SWC,Stawell,Stawell,Australia,,,,,,,
GHB,Governors Harbour,Governors Harbour,Bahamas,,,,,,,
SJB,San Joaquin,San Joaquin,Bolivia,,,,,,,
QYW,Vieux Port,Cannes,France,,,,,,,
SMI,Samos,Samos,Greece,,,,,,,
LCE,Goloson International,La Ceiba,Honduras,,,,,,,
HZK,Husavik,Husavik,Iceland,,,,,,,
TJG,Tanjung Warukin,Tanjung Warukin,Indonesia,,,,,,,
GHK,Gush Katif,Gush Katif,Israel,,,,,,,
ELE,El Real,El Real,Panama,,,,,,,
BNZ,Banz,Banz,Papua New Guinea,,,,,,,
HCS,Randburg Heliport,Johannesburg,South Africa,,,,,,,
SIC,Sinop Airport,Sinop,Turkey,,,,,,,
APN,Alpena County Regional,Alpena,United States,,,,,,,
WML,Malaimbandy,Malaimbandy,Madagascar,,,,,,,
LTI,Altai,Altai,Mongolia,,,,,,,
KCD,Kamur,Kamur,Indonesia,,,,,,,
TSG,Intermediate,Tanacross,United States,,,,,,,
RDV,Red Devil,Red Devil,United States,,,,,,,
OCF,Taylor Field,Ocala,United States,,,,,,,
BBG,Butaritari,Butaritari,Kiribati,,,,,,,
TNV,Tabuaeran,Tabuaeran,Kiribati,,,,,,,
ZZU,Mzuzu,Mzuzu,Malawi,,,,,,,
UAC,San Luis Rio Colorado,San Luis Rio Colorado,Mexico,,,,,,,
